,Unnamed: 0,X0,X1,cluster_id,sub_cluster,cluster,origin,size_factor,celltype_origin,batch,n_counts,tissue,lr_batch,corr_concat,cell.labels,stage,lanes,sex,sort.ids,fetal.ids,component,broad_cell.labels,sequencing.type,orig.dataset,broad_cell_labels_organ,V6_old_indexes,col,num,corr_concat_num,predicted,subclusters
SS.sc7785481,850,11.721575,1.1972405,Hemogenic Endothelial Progenitors,Hemogenic Endothelium,Hemogenic Endothelial Progenitors,Yolk Sac,0.744549516831076,Hemogenic Endothelium_Yolk Sac_1,0,277656.78,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Hemogenic Endothelium_Yolk Sac_1
SS.sc7785600,859,12.717989,1.2722003,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.21490843547702,Erythro-Myeloid Progenitors_Yolk Sac_1,0,438259.16,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_1
SS.sc7785400,861,11.83709,-0.68942535,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.21911329625255,Blood Progenitors_Yolk Sac_0,0,452252.94,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785576,885,11.646181,-0.7251228,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.34018970682236,Blood Progenitors_Yolk Sac_1,0,490898.44,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785356,913,12.9786415,2.6791587,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.820013344838457,Myeloid Progenitors_Yolk Sac,0,408986.56,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785574,942,11.205482,-2.2257864,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.644451481645348,Erythroblasts_Yolk Sac,0,350411.38,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785531,968,12.87615,1.8246222,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.890371063877586,Erythro-Myeloid Progenitors_Yolk Sac_2,0,336269.44,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Pre DC2_ys,Erythro-Myeloid Progenitors_Yolk Sac_2
SS.sc7785505,993,12.59892,1.2976737,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.32252418873871,Erythro-Myeloid Progenitors_Yolk Sac_1,0,439671.78,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_1_ys,Erythro-Myeloid Progenitors_Yolk Sac_1
SS.sc7785498,997,13.044991,2.2716343,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.840510181993209,Erythro-Myeloid Progenitors_Yolk Sac_0,0,361128.7,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,pDC precursor_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785647,1005,12.697974,2.6503878,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.979230149014358,Myeloid Progenitors_Yolk Sac,0,367320.38,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785361,1018,12.918912,2.745594,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.34330519934827,Myeloid Progenitors_Yolk Sac,0,564871.9,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785593,1039,11.392261,-0.8579877,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.44165386907105,Blood Progenitors_Yolk Sac_1,0,544510.0,gastrulation,gastrulation,Early_Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#FFE8EC,#FFE8EC,#FFE8EC : Early_Erythroid_Yolk Sac_gastrulation,Early_Erythroid_ys,Blood Progenitors_Yolk Sac_1
SS.sc7785551,1040,10.525378,-2.4390342,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.861717006319546,Erythroblasts_Yolk Sac,0,501388.75,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785649,1059,12.837765,2.579243,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.06835451042258,Myeloid Progenitors_Yolk Sac,0,503176.9,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785308,1060,12.802587,2.8245995,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.618898279082499,Myeloid Progenitors_Yolk Sac,0,269805.16,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
SS.sc7785377,1078,12.0791,-0.47567043,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.580853521285448,Blood Progenitors_Yolk Sac_0,0,231934.95,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785500,1084,12.229138,-0.61839,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.01488549762317,Blood Progenitors_Yolk Sac_0,0,371192.62,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785334,1102,10.70739,-2.1435246,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.845862382532809,Erythroblasts_Yolk Sac,0,441556.0,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785501,1108,12.100043,-0.43945166,Hemogenic Endothelial Progenitors,Blood Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.04414860841729,Blood Progenitors_Yolk Sac_0,0,389731.44,gastrulation,gastrulation,MK_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#ee943f,#ee943f,#ee943f : MK_lineage_Yolk Sac_gastrulation,MK_ys,Blood Progenitors_Yolk Sac_0
SS.sc7785453,1126,12.286478,1.191505,Hemogenic Endothelial Progenitors,Erythro-Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,0.718970312876513,Erythro-Myeloid Progenitors_Yolk Sac_0,0,210704.34,gastrulation,gastrulation,HSPC_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#afbfcc,#afbfcc,#afbfcc : HSPC_lineage_Yolk Sac_gastrulation,HSPC_2_ys,Erythro-Myeloid Progenitors_Yolk Sac_0
SS.sc7785483,1127,10.832542,-2.4302135,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.856603590736197,Erythroblasts_Yolk Sac,0,447036.78,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785288,1130,11.171175,-2.271005,Erythroblasts,Erythroblasts,Erythrocytes,Yolk Sac,0.396709190982673,Erythroblasts_Yolk Sac,0,272510.88,gastrulation,gastrulation,Erythroid_Yolk Sac_gastrulation,,,,,,,,,,,,,#ff0000,#ff0000,#ff0000 : Erythroid_Yolk Sac_gastrulation,Erythroid_ys,Erythroblasts_Yolk Sac
SS.sc7785402,1146,12.969526,2.5650752,Hemogenic Endothelial Progenitors,Myeloid Progenitors,Hemogenic Endothelial Progenitors,Yolk Sac,1.1563927763607,Myeloid Progenitors_Yolk Sac,0,471049.62,gastrulation,gastrulation,Macrophage_lineage_Yolk Sac_gastrulation,,,,,,,,,,,,,#4c7bab,#4c7bab,#4c7bab : Macrophage_lineage_Yolk Sac_gastrulation,Macrophage_ys,Myeloid Progenitors_Yolk Sac
